Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Jofra Archer to Maharaj, no run," 144kph, a hint of a kick up from a length, seaming away as well. But Maharaj's on his haunches as he leaves this one"
Jofra Archer to Maharaj, no run," 142kph, much tighter in that just outside off zone. Well left"
Jofra Archer to Maharaj, no run," 140kph, loose bouncer, wasting it outside off with Maharaj easily ducking under"
Jofra Archer to Maharaj, no run," 138kph, really full on off, driven out to short cover"
Jofra Archer to Maharaj, no run," 139kph, gentle float up way outside off. Shuffling leave"
Jofra Archer [15.0-3-56-0] is back into the attack, no run," 139kph, gentle float up way outside off. Shuffling leave"
QDK at Centurion in Tests -  18*, 129*," 9*, 82, 50, 0, 12, 45, 95 (today)"
Sam Curran to Maharaj, 1 run," quickly skidding on straight with the angle, hurrying Maharaj into bringing his bat down in time. Just managed. To fine leg"
Sam Curran to Philander, 1 run," the periscope-duck. And it's off the back of his bat .. the Proteas continue piling on their past Karma luck, this one going into an empty backward square leg"
Sam Curran to Philander, no run," 129kph, more inswing, more on middle, more of the behind-it-defences"
Sam Curran to Philander, no run," 127kph .. similar. Philander's fully behind the line this time, blocking it back down"
Sam Curran to Philander, no run," inswing right up, on the money too as this comes back in onto middle, hurrying Philander in his defence"
Sam Curran [15.0-5-48-3] is back into the attack, no run," inswing right up, on the money too as this comes back in onto middle, hurrying Philander in his defence"
Denly to de Kock, no run," drilled hard on the cover drive, straight to cover"
Denly to de Kock, no run," short, something Quinton wants to tuck away behind square. Nope, will leading-edge it back"
Denly to de Kock, no run," massive plonk in front, can't get to the pitch of it though to quickly settle to keep it out"
Denly to de Kock, no run," back foot, getting squared up with the lack of turn on an attempted defence"
Denly to Philander, 1 run," hangs beside the line now, carving down to long-off"
Denly to de Kock, 1 run," a walking flick, into the line, to the pitch of it and gets it to long-on"
Anderson to Philander, no run," a tad shorter, and all the more leave worthy"
Anderson to Philander, no run," 131kph, kicking up in the channel, just the stuff you leave alone. Yes"
Anderson to Philander, FOUR," rocks behind, opening up the delayed punch to guide it away through point. It's off the outside half, but safely into a huge gap out there"
Anderson to Philander, no run," loose poke this. Anderson gets it to seam away off a back of a length, but it's quite wide outside off to be left. Nah, Philander will play into the honey trap"
Anderson to de Kock, 1 run," 133kph, middle and leg for Quinton to pile on with a nudge round the corner .. 94"
One slip. One gully., 1 run," 133kph, middle and leg for Quinton to pile on with a nudge round the corner .. 94"
Anderson to de Kock, no run," 132kph, fifth-stumped. One-kneed defence. Cover"
Denly to Philander, no run, and the attempted cover drive ends up at short mid-wicket .. all hail the inside edge
Denly to Philander, no run, quick skiddy one that goes on with the angle to cramp up Philander's jab
Denly to Philander, no run," leans into the loop, forward smother"
Denly to Philander, no run, tosses it up on off. Philander drills it straight back down
Denly to Philander, no run," quite a yorker this, dipping quickly as Philander can only manage to jam it out"
Denly to de Kock, 1 run," loopy full toss on the toes, clipped away round the corner .. 93"
Anderson to Philander, no run," 134kph, extracts some juicy bounce here, flying over Philander's half-hearted stab"
Anderson to Philander, no run," 130kph, back foot, tall up in blocking down the pitch"
Anderson to Philander, no run," 131kph, neatly left. Hard heavy length just outside off, a slight nip in too, but Philander will trust it to leave"
Anderson to Philander, no run," 129kph, short, rib-lined. Philander rides it rather well, with soft hands to keep his fend down into the leg-side"
Meanwhile, one slip, two gullies.
Anderson to de Kock, 1 run," 131kph, goes punching away from his body, skewing the thick outside half to a deep backward point"
Anderson to de Kock, no run," 131kph, a shuffle, a big forward press and a crisply defence to extra cover"
Drinks are on the field now.. Curran broke the partnership early on in the session but this pair have steadied things again. England seem to be going through the motions as the heat is taking its toll on them. They need some inspiration to pick up the remaining four wickets and hold on to the advantage., no run," 131kph, a shuffle, a big forward press and a crisply defence to extra cover"
Broad to Philander, no run," 131kph booming inswinger and Philander falls over on his forward defensive, the ball strikes him on the pad and Broad gestures to the slip cordon that it was doing too much"
Broad to Philander, no run," on a length and outside off, Philander shoulders arms"
Broad to Philander, no run," back of a length on off, Philander is right behind the line to defend"
Broad to Philander, no run, wayward short of length delivery outside off that Philander ignores
Broad to Philander, no run," shaping away from a fullish length, Philander lifts his bat and lets it go"
Broad to de Kock, 1 run," full and at the pads, flicked away to deep mid-wicket"
Anderson to Philander, no run," on a length and outside off, Philander stays back and dabs it to gully"
Square leg has been pushed back, no run," on a length and outside off, Philander stays back and dabs it to gully"
Anderson to Philander, no run," harmless back of a length delivery outside off, Philander shoulders arms"
Anderson to de Kock, 1 run," straying on the pads and de Kock picks it off towards fine leg, just a single"
Anderson to de Kock, no run," 134kph good length ball outside off, de Kock stabs it to gully"
Anderson to de Kock, FOUR, overpitched and de Kock drills it straight past Anderson. He was almost on the move as he creamed the drive past the bowler and Broad at mid-off
Round the wicket to de Kock, FOUR, overpitched and de Kock drills it straight past Anderson. He was almost on the move as he creamed the drive past the bowler and Broad at mid-off
Anderson to Philander, 1 run, decks in from a length and Philander tucks it to square leg
Broad to de Kock, no run," 132kph full delivery around off, de Kock presses forward and knocks it to cover"
Broad to de Kock, no run, pitched up outside off and de Kock does not middle the drive as he finds Denly at cover
Broad to de Kock, no run," fuller and just outside off, de Kock pushes it gently to mid-off"
Broad to de Kock, 2 runs," on a length and close to off, de Kock goes with hard hands on the drive and drags it off the inner portion to the left of mid-on, called for two and got it quite comfortably"
Broad to de Kock, FOUR," it is all going de Kock's way. He sees the width on the good length ball and flashes hard, no half measures and the outside edge flies over the slip cordon leaving Broad fuming"
Broad to de Kock, no run," angled across off-stump, de Kock lifts his bat and lets it go"
Anderson to Philander, FOUR," edged and four! Philander saw a bit width on this back of a length delivery and tried to force it through the off-side, the outside edge splits second slip and gully perfectly"
Anderson to Philander, no run, the three quarter length from Anderson and Philander is right behind the line to keep it out
Anderson to Philander, no run," 133kph short of length delivery, Philander is back and across to knock it to point"
Anderson to Philander, no run," back of a length at the batsman, blocked down the wicket"
Anderson to Philander, no run," uhhh! That ball has jumped up from a length and taken everyone by surprise. Philander was pressing forward to defend and is taken aback by the bounce, the ball hits the glove first and then ricochets onto to his right bicep. Luckily for him it didn't go in the air"
Anderson to de Kock, 1 run," short and outside off, de Kock cracks it to deep backward point"
Broad to de Kock, leg byes," 1 run, leg-lined and de Kock nurdles it round the corner - to backward square leg"
Broad to de Kock, no run," good length ball on middle, de Kock offers a straight bat in his forward block"
Broad to de Kock, no run," too full and around off, de Kock squeezes out the drive towards mid-on"
Broad to de Kock, no run," muted appeal for LBW. Back of a length delivery that holds its line, de Kock misses the clip and is struck on the front pad. The ball had pitched outside leg and the impact might not have been in-line as well"
Broad to de Kock, no run," full and attacking the stumps, de Kock pushes it firmly to mid-on"
Broad to de Kock, FOUR," angled across the left hander and once de Kock saw the width, he was chasing and sliced it off the outer half over gully, the ball went fine enough to beat the deep point fielder"
Stuart Broad [13.0-4-36-2] is back into the attack, FOUR," angled across the left hander and once de Kock saw the width, he was chasing and sliced it off the outer half over gully, the ball went fine enough to beat the deep point fielder"
Update: Ben Stokes is suffering from dehydration and is a bit unwell. The England medical team will keep monitoring over the course of the day., FOUR," angled across the left hander and once de Kock saw the width, he was chasing and sliced it off the outer half over gully, the ball went fine enough to beat the deep point fielder"
Anderson to de Kock, 1 run," probing stuff from the veteran. Keeps it in the channel around off-stump and de Kock has to play at it, the ball holds its line and takes the inside edge past the stumps"
Anderson to de Kock, no run," 134kph good length ball outside off, de Kock lifts his bat and lets it go"
Anderson to de Kock, no run," very full and close to yorker length, dug out in front of mid-on"
Anderson to de Kock, no run," another teasing full delivery outside off and de Kock this time goes for it, hard hands on the drive and he ends up dragging it off the inner portion to mid-on"
Anderson to de Kock, no run," good length ball around off, de Kock stabs it off the inner half to mid-wicket"
Anderson to de Kock, no run, floats a 130kph full delivery outside off and de Kock thought about chasing it before aborting from the shot
James Anderson [14.0-4-43-1] is back into the attack, no run, floats a 130kph full delivery outside off and de Kock thought about chasing it before aborting from the shot
Sam Curran to Philander, no run," back of a length delivery angled in, tucked to square leg and de Kock is not interested in the risky single"
Sam Curran to Philander, no run," fuller and around off, defended into the off-side"
Sam Curran to Philander, no run," oh! That was smart bowling from Curran. He slips in the yorker and almost caught Philander unaware, the South African all rounder does well to clear his front leg and jam it out, then has a smile on his face as to gesture I had it covered"
Sam Curran to Philander, no run," on a length and outside off, Philander waves it through to Buttler"
Round the wicket now, no run," on a length and outside off, Philander waves it through to Buttler"
Sam Curran to de Kock, 1 run," short of length on off, de Kock swivels and pulls it to deep mid-wicket"
Sam Curran to de Kock, 2 runs," full and around off, de Kock closes the bat face on the push and the inside edge runs away through the vacant mid-wicket region, the duo scamper back for the second"
Jofra Archer to Philander, no run," fuller and around off, brings out a solid forward block from Philander"
Jofra Archer to Philander, no run," short of length outside off, Philander hoists his bat up and lets it pass"
Jofra Archer to Philander, no run, a better directed bumper and Philander ducks to evade it
Jofra Archer to Philander, no run," 143kph short of length outside off, Philander under-edges the cut back to the slip cordon"
Jofra Archer to Philander, no run," back of a length outside off, Philander punches it straight to point. Struck it sweetly but picked out the fielder"
Jofra Archer to Philander, no run," bouncer just outside off, Philander stands his ground and lets it pass"
Sam Curran to de Kock, no run, fuller than a good length and de Kock's forward press takes it to mid-off
Sam Curran to de Kock, no run," oh! So nearly dragged it on. Banged in short at 128kph, de Kock was through the pull a bit early and the toe-end drops near his feet before bouncing over the stumps"
Sam Curran to de Kock, no run," 135kph full delivery on off, de Kock turns it gently in front of mid-on"
Sam Curran to de Kock, no run," there and thereabouts around off, de Kock inside halves the forward block to mid-on"
Sam Curran to de Kock, wide," tries a round-armish delivery and ends up spraying it outside off, umpire Gaffaney calls it a wide"
Sam Curran to de Kock, no run," back of a length on off, de Kock stands tall and knocks it to mid-on"
Sam Curran to de Kock, no run," fuller and outside off, de Kock drives it back to Curran who stops in his followthrough"
Jofra Archer to de Kock, 1 run," short of length angled in, de Kock hops across and tucks it to square leg"
Jofra Archer to de Kock, no run," 143kph short ball outside off, de Kock tries to ramp it over the cordon but does not make contact"
Jofra Archer to de Kock, no run, 141kph back of a length delivery that squares up de Kock as he blocks it into the off-side
Jofra Archer to Philander, 1 run," short of length outside off, Philander rides the bounce by going on his toes and punches it towards backward point, early call for the single and they get it with ease"
Jofra Archer to de Kock, leg byes," 1 run, angled in at the hips and de Kock misses the tuck, struck on the thigh pad and Philander calls for the single"
Jofra Archer to de Kock, no run," loose from de Kock. Short and outside off, he was half-hearted with his waft. The ball goes past the top-edge and leaves Archer frustrated as he has beaten the bat quite a few times now without any luck"
Sam Curran to Philander, no run," another LBW shout from Curran and this time England won't review. Very similar to the Pretorius one. Full and swinging in, Philander misses the flick and is struck on the pad. The ball pitched outside leg and was swinging further down"
Sam Curran to Philander, no run, swinging back in from a length and Philander defends down the wicket
Sam Curran to Philander, FOUR," shot! Angled across the right hander on a fullish length, it was just too far outside off, allowed Philander to get a good stride forward and cream the drive on the rise through extra cover"
Sam Curran to Philander, no run," 139kph full delivery on off, Philander pushes it gently to mid-on"
Sam Curran to de Kock, 1 run," 132kph on the stumps, de Kock nurdles it backward of square leg"
Sam Curran to de Kock, no run," fuller and outside off, de Kock push-drives it to mid-off"
Jofra Archer to Philander, no run," awkward short of length delivery and Philander gets himself into a tangle, the ball seams in as well to miss the inside edge and strike him around the hip"
Jofra Archer to Philander, no run, 138kph good length ball and Philander walks into the forward block
Jofra Archer to Philander, no run," back of a length outside off, Philander lifts his bat and lets it go"
Jofra Archer to de Kock, 1 run," this shortish delivery does not bounce much, de Kock adjusts well and pulls it along the ground to deep square leg"
Jofra Archer to de Kock, no run," woah! What happened there? Back of a length delivery with some extra bounce, de Kock was taken aback as he closed the bat face to tuck it into the on-side, the ball hits the glove and lobs up, fortunately for South Africa it lands safely near cover-point. Philander once again wanted a single and is sent back"
Jofra Archer to de Kock, no run," angled in from round the wicket and de Kock drives down the wicket, Archer bends down and makes a half stop. He saved a few there as that was neatly struck"
Sam Curran to Philander, no run," nice piece of work from Crawley. Philander flicks the full delivery and started running, but de Kock was quick to send him back as a direct hit might have been curtains for Philander"
Sam Curran to Pretorius, no run," England have lost one of their reviews. Poor use of technology. Curran for some reason was quite sure that he had his man and he convinced Root to go for it. The ball pitched outside leg and swung in further, Pretorius falls over on the flick and is rapped on the pads. Nothing was going for that LBW appeal"
Sam Curran to Pretorius, 2 runs," overcorrects the line and ends up down leg, tickled fine and Bairstow does well to stop the boundary. Sprints across to his right and puts in the dive to make the save"
Sam Curran to Pretorius, FOUR," a drag down at 126kph and Pretorius dismisses it from his presence. He might have been waiting for it as he got into position quickly and nailed the pull in front of square, one bounce and over the ropes"
Sam Curran to de Kock, 1 run," short and outside off, de Kock cracks the cut square on the off-side, for a single"
Jofra Archer to Pretorius, no run," oh! The nip-backer that cuts Pretorius into half. 138kph back of a length delivery that decks in sharply, Pretorius wasn't sure with his footwork as he swooshed at the ball, beaten neck and crop on the inside edge and the bounces of Centurion takes it over the stumps"
Jofra Archer to Pretorius, no run, hurries the batsman with a back of a length delivery and Pretorius defends to cover
Jofra Archer to de Kock, 1 run, freebie on the pads and de Kock flicks it away towards long leg
Jofra Archer to de Kock, no run, 142kph short of length delivery and de Kock back cuts it to gully
Jofra Archer to de Kock, no run," angled in on a fullish length, de Kock flicks it uppishly towards squarish mid-wicket"
Round the wicket to de Kock, no run," angled in on a fullish length, de Kock flicks it uppishly towards squarish mid-wicket"
Jofra Archer to Pretorius, 1 run, gentle loosener i.e leg-lined and Pretorius tickles it to fine leg
Sam Curran to de Kock, no run, 132kph short of length delivery and de Kock wrists it to mid-on
Sam Curran to de Kock, no run," back of a length close to off, de Kock stabs it off the inside edge back onto his pad"
Sam Curran to Pretorius, 1 run," fuller and around off, Pretorius pushes it back past de Kock and sets off, easily stolen"
Sam Curran to Pretorius, no run," Curran was interested in the strangle down leg, but Buttler wasn't. Back of a length and shaping down leg, Pretorius tries to get some wood on the glance but misses, might have brushed his shirt on the way to Buttler"
Sam Curran to Pretorius, no run," good length ball around off, Pretorius allows the ball to hit the splice and roll away to point"
Sam Curran to de Kock, 1 run," fraction short and outside off, de Kock plays his trademark cut shot and finds deep point"
Sam Curran [10.0-5-30-2] is back into the attack, 1 run," fraction short and outside off, de Kock plays his trademark cut shot and finds deep point"
Jofra Archer to de Kock, 1 run," and another wasted delivery - on the pads, to be clipped round the corner"
Jofra Archer to de Kock, no run," 140kph, wide again and it's not even jagging back in. Again, Quinton better not be chasing"
Jofra Archer to de Kock, no run," 143kph, too wide. Quinton might be Quinton, but surely even he's not chasing them three balls before tea"
Jofra Archer to de Kock, no run," 138kph, stays up tall in the line up to steer his punch to point"
Jofra Archer to de Kock, no ball," massive jag back in, kicking up extra as well to knock the bat handle. Also, in Archer's desperation, he's overstepped"
Jofra Archer to de Kock, no run," 146kph, sharp bumper - you know, the kind the angles right onto the head as well. Quinton's alert, swaying out early"
Jofra Archer to de Kock, FOUR," 141kph, proper walking drive. He's made this delivery into a joke, with the fullest of bats, stroking through the line, straight down"
Broad to Pretorius, no run," 132kph, pitched up on middle, a checked drive on the up, something mid-on will clean up"
Broad to Pretorius, no run," angles in, pitches, seams away. It's all safely outside off"
Broad to Pretorius, FOUR," airborne uncontrolled flick. A middle-line, and Pretorius' wrists will manage to bisect short mid-wicket and mid-on to perfection"
Broad to Pretorius, no run," 135kph, seams away sharply, off a back of a length, something Pretorius can leave on length"
Broad to Pretorius, no run," 136kph, crunchy forward push, high elbows and all, to mid-off"
Broad to Pretorius, no run," 140kph, quite an obvious floater outside off, sensibly left"
Jofra Archer to de Kock, no run," almost chops on. Well, well. Quinton, again with zero feet, looks to cut, and drags it just past his off-pole"
Jofra Archer to de Kock, no run," massive peach. Perfect channel on off, perfect length, getting Quinton to waft on the back foot .. only to pitch, seam away, past"
Jofra Archer to de Kock, no run," 140kph, again, the slip onto the pads, and is clipped straight to square leg"
Jofra Archer to de Kock, no run," 141kph, tightens on off. And will get a block just as tight"
Jofra Archer to de Kock, FOUR," strays onto the legs. Quinton hangs behind and times his clip rather well, neatly behind square"
Jofra Archer to de Kock, no run," seemingly innocuous floaty stuff way outside off. But Quinton just can't anything go by today, chasing with no intent"
Jofra Archer [9.0-2-41-0] is back into the attack, no run," seemingly innocuous floaty stuff way outside off. But Quinton just can't anything go by today, chasing with no intent"
This should be fun. Ten minutes of express pace before tea. And trust Quinton to not holf back either., no run," seemingly innocuous floaty stuff way outside off. But Quinton just can't anything go by today, chasing with no intent"
Broad to Pretorius, no run," 130kph, shuffles, stays behind the line firmly in a soft-defence"
Broad to Pretorius, no run," 135kph, length, on off, a forward stroke-out, mid-off"
Broad to Pretorius, no run, floats a tease wide outside off. Harmless. Left
Broad to Pretorius, no run," 132kph, falls over on the glance, missing connection and taking it on his thighs"
Broad to de Kock, 3 runs," 132kph, way too full. Quinton's got quick hard wrists, whipping it away without much of a followthrough into mid-wicket. Almost a certain boundary, but for a chasing-sliding-flicking Bairstow - who's done it all with shin pads on"
Broad to de Kock, no run," 131kph, shuffles early, stays behind the line and knocks it back down the pitch"
Stuart Broad [11.0-4-29-2] is back into the attack, no run," 131kph, shuffles early, stays behind the line and knocks it back down the pitch"
Anderson to Pretorius, 2 runs," hangs behind in his crease, sticking out a stab to get it through the covers"
Anderson to Pretorius, no run," 136kph, seaming away. Pretorius gets across to ignore"
Anderson to de Kock, 1 run," 135kph, thigh-lined, and easy clippings, behind square"
Anderson to de Kock, no run," a longer press in front, covering the line now to be pushing it safely to cover"
Anderson to de Kock, no run," 137kph, stride out to cover off, leaving"
Anderson to de Kock, no run," on the shorter side, angling across as well. And Quinton has a couple of excuses to leave. Well, he does"
Root to Pretorius, FOUR," makes room with his front leg getting out, frees up the hands and smokes it through the line uppishly, and it bounces a millimeter in front of long-off's ropes"
Root to de Kock, 1 run, typically sliced - also read hard - sweeper
Root to de Kock, no run," another dance, settling inside the line to tap out to cover"
Root to de Kock, no run," charges in front, quickly changing into a push to cover"
Root to de Kock, no run," wider, a bigger slice, and straight to backward point"
Root to de Kock, no run," tries to cut, but the ball's coming on slowly off the pitch to not get much timing on it"
QDK last 8 innings at home - 59,129," 18, 55, 80, 1, 86, 50* (today)"
Anderson to de Kock, 1 run," 134kph, a controlled short-arm-jab, shuffling in his crease and getting it wide of mid-on. Fifty | 45 balls | 9 fours | A lot of heart | A lot of streak .. perhaps the best thing that South Africa could've asked for in this mini-crisis"
Anderson to de Kock, no run," 137kph, a bigger lean to the pitch of it, finding cover with a crisp defence"
Anderson to Pretorius, 1 run," a leaning lined up tap, through the covers it is"
Anderson to Pretorius, no run," 135kph, slight nibble away off a length, wide outside off, and left"
Anderson to Pretorius, FOUR," up in the driving slot, and Pretorius throws out a flay. It's a small miscue when compared to some we've seen in the last thirty minutes. Behind point"
Anderson to Pretorius, no run," length, fifth-stumped, leaning block"
Root to de Kock, no run," shortish, outside off, and Quinton has two things to trust to be leaving. He does"
Root to de Kock, 2 runs, driven away decently - orthodox i.e. - letting the ball dip as he nails it through the covers
Root to de Kock, 2 runs," well, he won't stop paddling .. Root smartly goes wider outside off and now gets it to fly off the back of Quinton's bat over slip. Gee, every ball, EVERY BALL'S a story here .."
Root to de Kock, no run," and again. A wide paddle, flicking it only onto himself"
Root to de Kock, no run," tries dragging a paddle to a delivery way, way outside off. Ends up sweeping it onto his own pad"
Root to de Kock, no run," leans out to the pitch of it, smothering"
Anderson to Pretorius, no run," 135kph, length, slightly outside off, properly watertight, defending to cover"
Anderson to de Kock, 1 run," 132kph, a neat opened up bat here, steering away through point"
Anderson to de Kock, FOUR," 132kph, a squared up edge now, past gully. Anderson gets slight swing just outside off, draws Quinton into a straight drive. Nevertheless .."
Anderson to de Kock, no run, holds it in the fifth-stump channel. QdK does a walking leave for a change
Most wickets in this decade (Test)428 Jimmy Anderson400 Stuart Broad376 Nathan Lyon363 Rangana Herath362 Ravi Ashwin, no run, holds it in the fifth-stump channel. QdK does a walking leave for a change
Anderson to de Kock, FOUR," wild drive, edged, four. Yea, spot the pattern -- he goes chasing a wide full one, doesn't get close to this either, but the hard hands mean a fat edge and a fat edge means it's flying over second slip"
Anderson to de Kock, no run," angling across off a good length. Can be left, is left"
James Anderson [11.0-4-25-1] is back into the attack, no run," angling across off a good length. Can be left, is left"
Root to de Kock, 1 run, crashes at the slightest of room to carve away through the covers
Root to de Kock, no run," draws the nick .. but it appears to have dropped just short of Stokes at slip. He isn't quiite sure either, not claiming it, and the umpire's taken it upstairs with not out being the soft signal. And as history tells us, it's damn tough to overturn these. Yep, replays confirm it to be one of those dodgy calls - hitting the fingers and the ground the same time. Thank god for the soft signal. England have seen this on the big screen, they are convinced there's something under. Alas, the celebrations are the real deal, and there weren't any to convince the onfield guys .."
Root to Pretorius, 1 run," back to tossing them up outside off, stroked through the line, down to long-off"
Root to Pretorius, SIX," ummm, the momentum's rubbing off. Pretorius gets one in his arc, quickly sits under it and pumps it death-over-style over long-on"
Root to de Kock, 1 run," loopy outside off, slayed away through sweeper"
Root to Pretorius, 1 run, drifting full on middle. Pretorius clears out his front leg to drive down the ground
Sam Curran to de Kock, FOUR," ooooh, unnecessarily streaky. Curran floats it wider, and trust Quinton to get sucked in -- he chases quite aimlessly, inside-edges and Buttler's moving in the wrong direction to be stopping these"
Sam Curran to de Kock, no run," 136kph, outswing, fourth-stump, will be defended down"
Sam Curran to de Kock, FOUR," 126kph, tries softening him up with a bumper. And Quinton's in position damn quickly, jumping, swivelling in the air as he does to swat it away over square leg"
Sam Curran to de Kock, no run," 121kph, again, off-lined, solid blocks"
Sam Curran to de Kock, no run," quicker in-swinger on off. Quinton reads it well, getting his stride to the pitch of it to block"
Sam Curran to de Kock, no run," presses across, lining up with an opened up defence to push it out to point"
The tumble that Jimmy took on 40.3 for that catch seems to have done some damage. He's gone off the field. , no run," presses across, lining up with an opened up defence to push it out to point"
Root to de Kock, 1 run," strays on the legs, tickled away behind square"
Root to de Kock, no run," flat again, a forward defensive it'll stay"
Root to Pretorius, 1 run, flat on the stumps. He uses the angle to work it in front of square
Root to de Kock, 1 run," well, well, well. Half his side might be back in, but Quinton will do a Quinton. There's no way he's letting go of a toss up in his arc, and he swings wildly to slog it downtown without even getting to the pitch of it. Mis-slices, gets it ballooning over the bowler's head .. Anderson and Archer chase it from mid-off and on respectively, but no, can't get there"
Root to de Kock, no run," another wide-line, not bothered with"
Root to de Kock, FOUR," proper drag down this - short, wide, spinning further away. Quinton doesn't go full-blooded, reaching out and stabbing it backward of point"
There are certain things you do to not mess around with the over-rate. THIS is one of them .. Okay, slip, short leg.
Sam Curran to Pretorius, no run," back-footed, lines up well to bunt it down the pitch"
Sam Curran to Pretorius, no run," 141kph, massive LBW appeal that's not review worthy. It's the inswinger this time -- hurrying past Pretorius' flick to trap him on the pads. Nah, heading down leg"
Sam Curran to Pretorius, no run," 133kph, presses big in front, head on ball in defence"
Sam Curran to Pretorius, no run," pitches it up now, Pretorius continues looking to drive for inswing that isn't. Hence .. another whizz past the outside"
Sam Curran to Pretorius, no run," 136kph, slightly shorter, squaring up an awkward outside edge to point"
Sam Curran to Pretorius, no run," a poky-stab. Curran continues to make righties guess with the angle. Pretorius is no different, looking to come in front and then hurry back to flirt awkwardly. Well, he couldn't have been beaten bigger"
Drinks are on the field now.. Another hour that goes England's way. South Africa started on a positive not with Faf taking on Archer but a few disciplined overs saw the hosts lose two wickets in quick succession. de Kock remains their last hope of getting a decent first innings total., no run," a poky-stab. Curran continues to make righties guess with the angle. Pretorius is no different, looking to come in front and then hurry back to flirt awkwardly. Well, he couldn't have been beaten bigger"
Broad to de Kock, no run," throws the bait much wider of off-stump, de Kock is not catching that as he lets it pass"
Broad to de Kock, 2 runs," pitched up and de Kock obliges with the drive, placed in front of square and Denly does well in the deep, covers a lot of ground and puts in the dive to stop it from reaching the fence"
Broad to de Kock, no run," 129kph good length ball outside off, de Kock shoulders arms"
Broad to de Kock, no run," angled in from round the wicket, de Kock defends it with a straight bat to mid-off"
Broad to de Kock, no run," good length ball outside off, de Kock lifts his bat and lets it go"
There is a sweeper out for the drive, no run," good length ball outside off, de Kock lifts his bat and lets it go"
Broad to de Kock, no run," the idea was to bowl a juicy full delivery, but it ends up in the blockhole and de Kock lets go"
Sam Curran to Pretorius, no run," good length ball on middle, Pretorius gently turns it in front of mid-on"
Sam Curran to Pretorius, no run," very full and close to yorker length, Pretorius jams it out to mid-on"
Sam Curran to Pretorius, no run," 136kph inswinger that almost goes through Pretorius, who has not yet measured the pace of Curran. Clearly late on the shot and if not for the inside edge, he was a dead duck"
Sam Curran to Pretorius, no run, once more slants it across and Pretorius defends off the outer half to backward point
Sam Curran to Pretorius, no run, angled across the right hander and Pretorius slices the drive to backward point
Sam Curran to Pretorius, no run," skiddy back of a length delivery and Pretorius is caught in the crease, the ball beats the inside edge and strikes him on the back thigh"
Broad to de Kock, FOUR, overpitched and de Kock puts it away. He is in the mood. Anything slightly off and de Kock is ensuring it is made to pay. He gets nicely forward and creams the drive through extra cover
Broad to de Kock, no run," pitched right up outside off and de Kock goes too hard on the drive, mistimed to cover"
Round the wicket to de Kock, no run," pitched right up outside off and de Kock goes too hard on the drive, mistimed to cover"
Broad to Pretorius, 1 run," back of a length on the hips, tucked backward of square leg for his first run in Test cricket"
Broad to du Plessis, no run," top stuff! Even Faf goes uhhh. Broad goes wide of the crease and angles it in, du Plessis reckons it is coming in and plays for the line, but the ball straightens to beat the outside edge. Unplayable!"
Broad to du Plessis, no run," on a length and around off, du Plessis covers his sticks and shoulders arms"
Sam Curran to de Kock, 2 runs," 135kph fullish delivery swirling away outside off, de Kock plays it with the swing and eases it through extra cover, the timing was good to take it far enough for the batsmen to pick up a brace"
Sam Curran to de Kock, FOUR," crunched! de Kock is laying into Curran. Fraction short and outside off, de Kock crouches a bit and square drives it behind square on the off-side, third boundary of the over and de Kock is counterattacking"
Sam Curran to de Kock, no run, attacks the off-stump and de Kock prods forward to block it to mid-on
Sam Curran to de Kock, no run," back of a length close to off, de Kock defends with soft hands to gully"
Sam Curran to de Kock, FOUR," goes for the overambitious inswinger and ends up spraying it on the pads, de Kock flicks it in front of square wide of the man at mid-wicket and picks up consecutive boundaries"
Sam Curran to de Kock, FOUR," de Kock is off the mark and he brings up the 100 for South Africa. Short and wide outside off, right in de Kock's strong zone and he cracks it square of the wicket, right between two fielders"
QDK at Centurion:5 Tests345 runs69.00 avgHS 129*, FOUR," de Kock is off the mark and he brings up the 100 for South Africa. Short and wide outside off, right in de Kock's strong zone and he cracks it square of the wicket, right between two fielders"
Broad to du Plessis, no run," good length delivery around off, du Plessis defends with the head right on top of the ball"
Broad to du Plessis, no run," went wide of the crease and angled it in, but it is well outside off, left alone"
Broad to du Plessis, no run, back of a length and nice carry through to Buttler as du Plessis lets go
Umpire Chris Gaffaney has a quick word with Broad about running in the danger area. No official warning given, no run, back of a length and nice carry through to Buttler as du Plessis lets go
Broad to du Plessis, no run," closer to off-stump and makes du Plessis play this time, driven straight to mid-on"
Broad to du Plessis, no run," fuller but the line remains the same, du Plessis ignores"
Broad to du Plessis, no run," back of a length outside off, du Plessis lifts his bat and lets it go"
Stuart Broad [8.0-3-22-1] is back into the attack, no run," back of a length outside off, du Plessis lifts his bat and lets it go"
